segment_id,highway_name,segment_length_m,pronghorn_overlap_high_use,pronghorn_overlap_stopover,elk_overlap_high_use,elk_overlap_stopover,meters_to_pronghorn_highway,meters_to_pronghorn_stopover,meters_to_elk_highway,meters_to_elk_stopover
34,I 040191A,160.89,0,0,0,0,10496.37,14891.63,6002.52,9832.14
62,S 260                       0,160.9,0,0,0,0,60408.22,64026.06,57902.69,58422.58
124,I 040071A,160.95,0,0,0,0,148027.84,156746.29,123412.23,127525.26
144,I 040071J,160.95,0,0,0,0,148040.0,156742.67,123439.25,127551.37
191,S 260,160.9,0,0,0,0,60408.22,64026.06,57902.69,58422.58
243,SB040                       02,160.92,0,0,0,0,38984.93,49279.75,13746.34,17868.03
245,SB040                       03,160.91,0,0,0,0,14003.26,25104.82,1143.48,1376.45
275,SB040                       06,160.86,0,0,0,0,102318.92,105125.92,94809.91,101189.54
277,SB040                       07,160.85,0,0,0,0,137525.96,140333.73,130005.68,136369.32
280,SB040                       08,160.85,0,0,0,0,153539.0,156377.0,146060.88,152432.37
355,SB040                        6,160.86,0,0,0,0,102318.92,105125.92,94809.91,101189.54
358,SB040                        7,160.85,0,0,0,0,137525.96,140333.73,130005.68,136369.32
363,SB040                        8,160.85,0,0,0,0,153539.0,156377.0,146060.88,152432.37
374,SB040                       01,160.93,0,0,0,0,73631.56,81542.63,50730.35,54549.41
538,SB040                        1,160.93,0,0,0,0,73631.56,81542.63,50730.35,54549.41
544,SB040                        2,160.92,0,0,0,0,38984.93,49279.75,13746.34,17868.03
551,SB040                        3,160.91,0,0,0,0,14003.26,25104.82,1143.48,1376.45
662,SB040                        0,160.97,0,0,0,0,180935.34,189236.96,156635.04,160729.78
663,SB040                       00,160.97,0,0,0,0,180935.34,189236.96,156635.04,160729.78
762,S 260                       0,160.9,0,0,0,0,60562.28,64174.42,58054.6,58574.24
763,S 260,160.9,0,0,0,0,60562.28,64174.42,58054.6,58574.24
821,I 040071J,160.95,0,0,0,0,148196.3,156897.84,123596.15,127708.25
829,I 040071A,160.95,0,0,0,0,147890.46,156613.81,123270.66,127383.93
909,SB040                       07,160.85,0,0,0,0,137516.79,140320.42,129990.28,136352.15
940,SB040                        1,160.93,0,0,0,0,73547.03,81442.36,50672.27,54485.28
943,SB040                        2,160.92,0,0,0,0,38871.37,49149.89,13656.46,17775.38
946,SB040                        3,160.91,0,0,0,0,13874.81,24955.53,1251.79,1379.38
958,SB040                        6,160.86,0,0,0,0,102370.79,105182.16,94868.45,101249.85
959,SB040                        7,160.85,0,0,0,0,137516.79,140320.42,129990.28,136352.15
963,SB040                        8,160.85,0,0,0,0,153666.85,156506.94,146191.9,152564.23
967,SB040                       01,160.93,0,0,0,0,73547.03,81442.36,50672.27,54485.28
973,SB040                       02,160.92,0,0,0,0,38871.37,49149.89,13656.46,17775.38
974,SB040                       03,160.91,0,0,0,0,13874.8,24955.52,1251.79,1379.38
983,SB040                       06,160.86,0,0,0,0,102370.79,105182.16,94868.45,101249.85
987,SB040                       08,160.85,0,0,0,0,153666.85,156506.94,146191.9,152564.23
1287,SB040                       00,160.97,0,0,0,0,180777.24,189080.55,156475.64,160570.47
1288,SB040                        0,160.97,0,0,0,0,180777.24,189080.55,156475.64,160570.47
1290,SB040                        4,38.57,0,0,0,0,10714.83,15110.87,6221.92,10051.73
1378,S 260,160.9,0,0,0,0,60712.62,64315.28,58201.12,58720.34
1379,S 260                       0,160.9,0,0,0,0,60712.62,64315.28,58201.12,58720.34
1429,SB040                        4,160.89,0,0,0,0,10796.55,15182.97,6294.89,10129.92
1462,I 040071A,156.76,0,0,0,0,147780.28,156510.29,123154.55,127268.17
1507,I 040071J,160.95,0,0,0,0,148349.2,157053.2,123746.25,127858.54
1539,SB040                        8,160.85,0,0,0,0,153824.01,156664.33,146349.37,152721.75
1542,SB040                        7,160.85,0,0,0,0,137517.43,140317.06,129984.92,136345.06
1688,SB040                        3,160.91,0,0,0,0,13725.83,24799.85,1173.28,1345.14
1706,SB040                        2,160.92,0,0,0,0,38737.26,49004.01,13541.78,17658.17
1714,SB040                        1,160.93,0,0,0,0,73503.83,81380.51,50658.86,54465.21
1719,SB040                       08,160.85,0,0,0,0,153824.01,156664.33,146349.37,152721.75
1720,SB040                       07,160.85,0,0,0,0,137517.43,140317.06,129984.92,136345.06
1756,SB040                       03,160.91,0,0,0,0,13725.83,24799.85,1173.28,1345.14
1757,SB040                       02,160.92,0,0,0,0,38737.26,49004.01,13541.78,17658.17
1760,SB040                       01,160.93,0,0,0,0,73503.83,81380.51,50658.86,54465.21
1839,I 040                       0,160.98,0,0,0,0,229169.86,239155.13,203638.57,207726.75
1840,I 040,160.98,0,0,0,0,229173.11,239158.74,203641.69,207729.83
1928,SB040                       00,160.96,0,0,0,0,180619.32,188924.36,156316.38,160411.3
1929,SB040                        0,160.96,0,0,0,0,180619.32,188924.36,156316.38,160411.3
2022,S 260,160.9,0,0,0,0,60862.79,64455.91,58347.44,58866.24
2025,S 260                       0,160.9,0,0,0,0,60862.79,64455.91,58347.44,58866.24
2073,SB040                        4,160.89,0,0,0,0,10840.99,15201.18,6316.72,10164.34
2106,I 040071J,160.95,0,0,0,0,148506.03,157210.82,123901.88,128014.25
2277,SB040                       03,160.91,0,0,0,0,13565.08,24645.29,1058.15,1280.42
2288,SB040                       02,160.92,0,0,0,0,38584.57,48845.41,13402.23,17516.68
2294,SB040                       01,160.93,0,0,0,0,73466.27,81324.03,50651.47,54451.1
2312,SB040                        8,160.85,0,0,0,0,153983.69,156823.52,146508.27,152880.41
2314,SB040                       08,160.85,0,0,0,0,153983.69,156823.52,146508.27,152880.41
2324,SB040                        7,160.85,0,0,0,0,137640.34,140438.95,130106.27,136465.93
2333,SB040                       07,160.85,0,0,0,0,137640.34,140438.95,130106.27,136465.93
2351,SB040                        3,160.91,0,0,0,0,13565.08,24645.29,1058.15,1280.42
2356,SB040                        2,160.92,0,0,0,0,38584.57,48845.41,13402.23,17516.68
2370,SB040                        1,160.93,0,0,0,0,73466.27,81324.03,50651.47,54451.1
2460,I 040                       0,160.98,0,0,0,0,229013.22,238999.7,203481.55,207569.61
2461,I 040,160.98,0,0,0,0,229016.43,239003.29,203484.64,207572.67
2546,SB040                       00,160.96,0,0,0,0,180483.91,188792.56,156177.7,160272.84
2547,SB040                        0,160.96,0,0,0,0,180483.91,188792.56,156177.7,160272.84
2663,S 260,160.9,0,0,0,0,61011.13,64594.14,58491.69,59010.04
2664,S 260                       0,160.9,0,0,0,0,61011.13,64594.14,58491.69,59010.04
2723,I 040071J,20.16,0,0,0,0,148591.44,157295.33,123987.87,128100.22
2763,SB040                        4,160.89,0,0,0,0,10830.24,15161.79,6283.3,10142.83
2773,SB040                        1,160.93,0,0,0,0,73445.25,81283.57,50661.03,54453.89
2804,SB040                        7,160.85,0,0,0,0,137800.78,140599.63,130267.04,136626.74
2825,SB040                       01,160.93,0,0,0,0,73445.25,81283.57,50661.03,54453.89
2834,SB040                       02,160.92,0,0,0,0,38431.11,48686.51,13261.65,17374.1
2853,SB040                       07,160.85,0,0,0,0,137800.78,140599.63,130267.04,136626.74
2904,SB040                        2,160.92,0,0,0,0,38430.83,48686.53,13260.97,17373.48
2928,SB040                       08,160.85,0,0,0,0,154143.32,156982.66,146667.11,153039.0
2979,SB040                        8,160.85,0,0,0,0,154143.32,156982.66,146667.11,153039.0
3066,I 040                       0,160.98,0,0,0,0,228856.09,238843.74,203324.08,207412.03
3067,I 040,160.98,0,0,0,0,228859.6,238847.65,203327.45,207415.36
3156,SB040                       00,160.96,0,0,0,0,180335.56,188646.5,156027.44,160122.7
3157,SB040                        0,160.96,0,0,0,0,180335.56,188646.5,156027.44,160122.7
3263,S 260,160.9,0,0,0,0,61156.98,64729.13,58633.1,59150.98
3264,S 260                       0,160.9,0,0,0,0,61156.98,64729.13,58633.1,59150.98
3474,SB040                        1,160.93,0,0,0,0,73433.6,81252.23,50680.15,54466.24
3476,SB040                        2,160.92,0,0,0,0,38273.29,48529.74,13108.55,17219.99
3489,SB040                        7,160.85,0,0,0,0,137961.34,140760.38,130427.84,136787.57
3494,SB040                        8,160.85,0,0,0,0,154303.04,157141.9,146826.07,153197.71
3496,SB040                       01,160.93,0,0,0,0,73433.6,81252.23,50680.15,54466.24
3499,SB040                       02,160.92,0,0,0,0,38275.07,48527.32,13115.85,17226.57
3508,SB040                       07,160.85,0,0,0,0,137961.34,140760.38,130427.84,136787.57
3511,SB040                       08,160.85,0,0,0,0,154303.04,157141.9,146826.07,153197.71
3578,SB040                        4,160.89,0,0,0,0,10772.61,15079.91,6207.92,10076.19
